Name,City,Country,FAA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Color
Dayton-Wright Brothers Airport,Dayton,United States,MGY,KMGY,39.5889722,-84.2248611,957,-5,U,216
Richmond Municipal Airport,Richmond,United States,RID,KRID,39.7561006,-84.8427175,1140,-5,U,216
Findlay Airport,Findley,United States,FDY,KFDY,41.0120278,-83.6686111,819,-5,U,216
Black Hills Airport-Clyde Ice Field,Spearfish-South Dakota,United States,SPF,KSPF,44.4811407,-103.7860053,3931,-7,A,216
Olive Branch Muni,Olive Branch,United States,OLV,KOLV,34.876944,-89.783333,350,-6,A,216
Rocky Mountain Metropolitan Airport,Broomfield-CO,United States,BJC,KBJC,39.90888888,-105.1172222,5670,-7,A,216
McNary Field,Salem,United States,SLE,KSLE,44.9095,-123.003,214,-8,A,216
Tunica Municipal Airport,Tunica,United States,UTM,KUTA,34.681,-90.3467,194,-6,A,216
Lawrence J Timmerman Airport,Milwaukee,United States,MWC,KMWC,43.1103889,-88.0344167,745,-6,A,216
Southern Wisconsin Regional Airport,Janesville,United States,JVL,KJVL,42.62025,-89.0415556,808,-6,A,216
Arlington Municipal,Arlington,United States,GKY,KGKY,32.6638611,-97.0942778,628,-6,A,216
Gwinnett County Airport-Briscoe Field,Lawrenceville,United States,LZU,KLZU,33.9780761,-83.9623772,1061,-5,A,216
Bowling Green-Warren County Regional Airport,Bowling Green,United States,BWG,KBWG,36.9645278,-86.4196667,547,-6,A,216
Richard Lloyd Jones Jr Airport,Tulsa,United States,RVS,KRVS,36.0396111,-95.9846389,638,-6,A,216
Bryce Canyon,Bryce Canyon,United States,BCE,KBCE,37.706444,-112.145806,7590,-7,A,216
Burlington-Alamance Regional Airport,Burlington,United States,BUY,KBUY,36.0485433,-79.4748892,617,-5,A,216
New Century AirCenter Airport,Olathe,United States,JCI,KIXD,38.8309167,-94.8903056,1087,-6,A,216
Easton-Newnam Field Airport,Easton,United States,ESN,KESN,38.8041667,-76.069,72,-5,A,216
Ferry County Airport,Republic,United States,R49,\N,48.7182058,-118.6564714,2522,-8,A,216
Yuba County Airport,Yuba City,United States,MYV,KMYV,39.0553,-121.3411,62,-8,A,216
Halliburton Field Airport,Duncan,United States,DUC,KDUC,34.4713056,-97.9598611,1114,-6,A,216
Chinle Municipal Airport,Chinle,United States,E91,\N,36.1108806,-109.5754222,5547,-7,N,216
Garner Field,Uvalde,United States,UVA,KUVA,29.215429,-99.748962,942,-6,A,216
Lewis University Airport,Lockport,United States,LOT,KLOT,41.606326,-88.083003,680,-6,A,216
Frasca Field,Urbana,United States,C16,\N,40.144979,-88.200197,735,-6,A,216
Buchanan Field Airport,Concord,United States,CCR,KCCR,37.9896667,-122.0568889,26,-8,A,216
Key Largo,Ocean Reef Club Airport,United States,OCA,07FA,25.325393,-80.274775,8,-5,A,216
Springfield-Beckly Municipal Airport,Springfield,United States,SGH,KSGH,39.8402778,-83.8401667,1051,-5,A,216
Miami Seaplane Base,Miami,United States,MPB,\N,25.7783,-80.1703,0,-5,A,216
Philip Billard Muni,Topeka,United States,TOP,KTOP,39.068657,-95.622482,881,-6,A,216
Emporia Municipal Airport,Emporia,United States,EMP,\N,38.3321,-96.1912,1208,-6,A,216
Collin County Regional Airport at Mc Kinney,DALLAS,United States,TKI,KTKI,33.1779444,-96.5905278,585,-6,A,216
Chicago Executive,Chicago-Wheeling,United States,PWK,KPWK,42.1142897,-87.9015376,647,-6,A,216
Kelso Longview,Kelso,United States,KLS,KKLS,46.118,-122.898389,20,-8,A,216
Put-in-Bay Airport,Put-in-Bay,United States,3W2,\N,41.3521,-82.497,595,-5,A,216
Jefferson County Intl,Port Townsend,United States,TWD,\N,48.0314,-122.4838,108,-8,A,216
Lynden Airport,Lynden,United States,38W,\N,48.9558961,-122.4581183,106,-8,A,216
Jefferson County Intl,Port Townsend,United States,0S9,\N,48.0538086,-122.8106436,108,-8,A,216
Train Station,Richmond,United States,ZRD,\N,37.5343,-77.42945,26,-5,A,216
Wilmington Airborne Airpark,Wilmington,United States,ILN,KILN,39.42792,-83.792118,1077,-5,U,216
Marana Regional,Tucson,United States,AVW,KAVQ,32.409556,-111.218388,2031,-7,U,216
Casa Grande Municipal Airport,Casa Grande,United States,CGZ,KCGZ,32.954889,-111.766832,1464,-7,U,216
Buckeye Municipal Airport,Buckeye,United States,BXK,KBXK,33.420417,-112.68618,1033,-7,U,216
Gila Bend Municipal Airport,Gila Bend,United States,E63,KE63,32.960169,-112.673636,789,-7,U,216
McMinn Co,Athens,United States,MMI,KMMI,35.39919,-84.56177,874,-5,N,216
Sterling Municipal Airport,Sterling,United States,STK,KSTK,40.6153136,-103.2648454,4040,-7,A,216
Rawlins Municipal Airport-Harvey Field,Rawlins,United States,RWL,KFWL,41.8055975,-107.19994,6813,-7,A,216
Caldwell Essex County Airport,Caldwell,United States,CDW,KCDW,40.8752222,-74.2813611,172,-5,A,216
Lee C Fine Memorial Airport,Kaiser Lake Ozark,United States,AIZ,KAIZ,38.096035,-92.5494875,869,-6,A,216
Big Bear City,Big Bear,United States,L35,\N,34.2637778,-116.8560278,6725,-8,A,216
Thomasville Regional Airport,Thomasville,United States,TVI,KTVI,30.9017921,-83.8811285,264,-5,A,216
Henderson Executive Airport,Henderson,United States,HSH,KHND,35.972778,-115.134444,1881,-8,A,216
Henry Tift Myers Airport,Tifton,United States,TMA,KTMA,31.4289814,-83.488545,355,-5,A,216
Deer Valley Municipal Airport,Phoenix ,United States,DVT,KDVT,33.4117,112.457,1478,8,A,216
Hondo Municipal Airport,Hondo,United States,HDO,KHDO,29.3591,-99.1775,930,-6,A,216
McKinley National Park Airport,McKinley Park,United States,MCL,PAIN,63.732757,-148.91129,1720,-9,A,216
Lake Hood Seaplane Base,Anchorage,United States,LHD,PALH,61.1866382,-149.9653918,71,-9,A,216
Prospect Creek Airport,Prospect Creek,United States,PPC,PAPR,66.814167,-150.643611,1095,-9,A,216
Columbia County,Hudson NY,United States,HCC,\N,42.2913,-73.7103,198,-5,A,216
Wheeling Ohio County Airport,Wheeling,United States,HLG,\N,40.175,-80.6463,1195,-5,A,216
Fitzgerald Municipal Airport,Fitzgerald,United States,FZG,KFZG,31.6839046,-83.2709036,365,-5,A,216
Perry-Foley Airport,Perry,United States,40J,\N,30.0692778,-83.5805833,44,-5,A,216
Cairo-Grady County Airport,Cairo,United States,70J,\N,30.8879767,-84.1547353,265,-5,A,216
Aransas County Airport,Rockport,United States,RKP,KRKP,28.0862222,-97.0436944,24,-6,A,216
Crisp County Cordele Airport,Cordele,United States,CKF,KCKF,31.9888333,-83.7739167,310,-5,A,216
Ormond Beach municipal Airport,Ormond Beach,United States,OMN,KOMN,29.1804,-81.06497,28,-5,A,216
Portland Troutdale,Troutdale,United States,TTD,KTTD,45.54937,-122.401253,39,-8,A,216
Portland Hillsboro,Hillsboro,United States,HIO,KHIO,45.540394,-122.949825,204,-8,A,216
Suwannee County Airport,Live Oak,United States,24J,\N,30.300125,-83.0246944,104,-5,A,216
Montgomery County Airpark,Gaithersburg,United States,GAI,KGAI,39.1006,-77.09576,0,-5,A,216
Charlevoix Municipal Airport,Charelvoix,United States,CVX,KCVX,45.3047778,-85.2753333,669,-5,A,216
Quincy Municipal Airport,Quincy,United States,2J9,\N,30.5978708,-84.557425,225,-5,A,216
Roche Harbor Seaplane Base,Roche Harbor,United States,RCE,\N,48.608056,-123.159722,0,-8,A,216
Blakely Island Airport,Blakely Island,United States,BYW,\N,48.56025,-122.80243,0,-8,A,216
Rosario Seaplane Base,Rosario,United States,RSJ,\N,48.645556,-122.868056,0,-8,A,216
Westsound Seaplane Base,Westsound,United States,WSX,\N,48.617778,-122.952778,0,-8,A,216
Friday Harbor Seaplane Base,Friday Harbor,United States,FBS,\N,48.537222,-123.009722,0,-8,A,216
Furnace Creek,Death Valley National Park,United States,L06,\N,36.273,-116.515,0,-8,A,216
Flagler County Airport,Flagler,United States,XFL,KXFL,29.2821,-81.1212,33,-5,A,216
Morrisville Stowe State Airport,Morrisville,United States,MVL,KMVL,44.535,-72.614,732,-5,A,216
Dallas Executive Airport,Dallas,United States,RBD,KRBD,32.680833,-96.868333,201,-6,A,216
Welke Airport,Beaver Island,United States,6Y8,\N,45.721111,-85.520278,664,-5,A,216
Westerly State Airport,Washington County,United States,WST,KWST,41.349722,-71.803333,81,-5,A,216
Block Island State Airport,Block Island,United States,BID,KBID,41.168056,-71.577778,108,-5,A,216
Atmautluak Airport,Atmautluak,United States,369,\N,60.866667,-162.273056,18,-9,A,216
Nightmute Airport,Nightmute,United States,NME,PAGT,60.471111,-164.700833,4,-9,A,216
Toksook Bay Airport,Toksook Bay,United States,OOK,PAOO,60.541389,-165.087222,59,-9,A,216
Tununak Airport,Tununak,United States,TNK,\N,60.575556,-165.271667,14,-9,A,216
Goodnews Airport,Goodnews Bay,United States,GNU,\N,59.1175,-161.5775,15,-9,A,216
Newtok Airport,Newtok,United States,WWT,\N,60.939167,-164.641111,25,-9,U,216
Decatur County Industrial Air Park,Bainbridge,United States,BGE,KBGE,30.9715981,-84.6369278,141,-5,A,216
Silver Springs Airport,Silver Springs,United States,SPZ,KSPZ,39.4030278,-119.2511944,4269,-8,A,216
Whiteman Airport,Los Angeles,United States,WHP,KWHP,34.2593253,-118.4134331,1003,-8,A,216
Madera Municipal Airport,Madera,United States,MAE,KMAE,36.9886111,-120.1124444,255,-8,A,216
Mountain Home Municipal Airport,Mountain Home,United States,U76,\N,43.1316111,-115.7305671,3167,-7,A,216
Jackson County Airport,Jefferson,United States,19A,\N,34.1758638,-83.5615972,951,-5,U,216
Apalachicola Regional Airport,Apalachicola,United States,AAF,KAAF,29.7276066,-85.0274416,20,-5,A,216
St. Augustine Airport,St. Augustine,United States,SGJ,\N,29.95925,-81.3397222,10,-5,A,216
Douglas Municipal Airport,Douglas,United States,DQH,KDQH,31.4767385,-82.8605664,257,-5,A,216
St Lucie County International Airport,Fort Pierce,United States,FRP,KFPR,27.497472,-80.372638,23,-5,A,216
Alexandria,Alexandria,United States,ALX,ALX_,38.806346,-77.0621,1,-5,A,216
Taunton Municipal Airport - King Field,Taunton,United States,TAN,KTAN,41.8744017,-71.0166453,43,-5,A,216
Plymouth Municipal Airport,Plymouth,United States,PYM,KPYM,41.9090278,-70.7287778,148,-5,A,216
Quonset State Airport,North Kingstown,United States,OQU,KOQU,41.5971389,-71.4121389,18,-5,A,216
Mansfield Municipal,Mansfield,United States,1B9,\N,42.0001331,-71.1967714,122,-5,A,216
Norwood Memorial Airport,Norwood,United States,OWD,KOWD,42.1905278,-71.1729444,49,-5,A,216
Barnes Municipal,Westfield,United States,BAF,KBAF,42.1579472,-72.715875,270,-5,A,216
Windham Airport,Willimantic,United States,IJD,KIJD,41.7440278,-72.1802222,246,-5,A,216
Orange County Airport,Montgomery,United States,MGJ,KMGJ,41.5099884,-74.2646444,364,-5,A,216
Capital City Airport,Harrisburg,United States,CXY,KCXY,40.2171389,-76.8513611,347,-5,A,216
Marshfield Municipal Airport,Marshfield,United States,GHG,KGHG,42.09825,-70.6721389,9,-5,A,216
Danbury Municipal Airport,Danbury,United States,DXR,KDXR,41.3715353,-73.4821906,458,-5,A,216
Boire Field Airport,Nashua,United States,ASH,KASH,42.78175,-71.5147778,199,-5,A,216
Lawrence Municipal Airport,Lawrence,United States,LWM,KLWM,42.7171944,-71.1234167,148,-5,A,216
Waterbury-Oxford Airport,Oxford,United States,OXC,KOXC,41.4785556,-73.13525,726,-5,A,216
Fitchburg Municipal Airport,Fitchburg,United States,FIT,KFIT,42.5541111,-71.7589722,348,-5,A,216
Cartersville Airport,Cartersville,United States,VPC,KVPC,34.1231475,-84.8487067,759,-5,A,216
Centre-Piedmont-Cherokee County Regional Airport,Centre,United States,PYP,KPYP,34.0899167,-85.6100833,595,-6,A,216
Richard B Russell Airport,Rome,United States,RMG,KRMG,34.3507778,-85.1586667,664,-5,A,216
Northeast Alabama Regional Airport,Gadsden,United States,GAD,KGAD,33.9726489,-86.0890834,569,-6,A,216
Knoxville Downtown Island Airport,Knoxville,United States,DKX,KDKX,35.9638333,-83.8736667,833,-5,A,216
Barrow County Airport,Winder,United States,WDR,KWDR,33.9828611,-83.6674167,943,-5,A,216
Plantation Airpark,Sylvania,United States,JYL,KJYL,32.6452778,-81.5971111,188,-5,A,216
Dalton Municipal Airport,Dalton,United States,DNN,KDNN,34.7229444,-84.87025,709,-5,A,216
West Georgia Regional Airport - O V Gray Field,Carrollton,United States,CTJ,KCTJ,33.6316964,-85.1522641,1165,-5,A,216
Isbell Field Airport,Fort Payne,United States,4A9,\N,34.4736944,-85.7213889,877,-6,A,216
LaGrange-Callaway Airport,LaGrange,United States,LGC,KLGC,33.0088611,-85.0726111,694,-5,A,216
Baldwin County Airport,Milledgeville,United States,MLJ,KMLJ,33.154225,-83.2414139,385,-5,A,216
Polk County Airport - Cornelius Moore Field,Cedartown,United States,4A4,\N,34.0186944,-85.1464722,974,-5,A,216
Harris County Airport,Pine Mountain,United States,PIM,KPIM,32.8406944,-84.8824444,902,-5,A,216
Atlanta Regional Airport - Falcon Field,Atlanta,United States,FFC,KFFC,33.35725,-84.5718333,808,-5,A,216
Covington Municipal Airport,Covington,United States,9A1,\N,33.6323083,-83.8474472,809,-5,A,216
Lee Gilmer Memorial Airport,Gainesville,United States,GVL,KGVL,34.272627,-83.8302233,1276,-5,A,216
DeFuniak Springs Airport,DeFuniak Springs,United States,54J,\N,30.7311111,-86.1537778,289,-6,A,216
Barwick Lafayette Airport,LaFayette,United States,9A5,\N,34.6884792,-85.2903319,777,-5,A,216
Harry Clever Field Airport,New Philadelpha,United States,PHD,KPHD,40.4701667,-81.4199444,894,-5,A,216
Darlington County Jetport,Darlington,United States,UDG,KUDG,34.4493845,-79.8900608,192,-5,A,216
Hilton Head Airport,Hilton Head Island,United States,HXD,KHXD,32.2243611,-80.6974722,19,-5,A,216
Gilmer County Airport,Ellijay,United States,49A,\N,34.6282222,-84.5265833,1486,-5,A,216
Elizabethton Municipal Airport,Elizabethton,United States,0A9,\N,36.3712222,-82.1734167,1593,-5,A,216
Moton Field Municipal Airport,Tuskegee,United States,06A,\N,32.4605722,-85.6800278,264,-6,A,216
Daniel Field Airport,Augusta,United States,DNL,KDNL,33.4665028,-82.0393808,423,-5,A,216
Foothills Regional Airport,Morganton,United States,MRN,KMRN,35.8202336,-81.6115119,1270,-5,A,216
Pike County Airport - Hatcher Field,Pikeville,United States,PBX,KPBX,37.5617639,-82.5663889,1473,-5,A,216
Toccoa RG Letourneau Field Airport,Toccoa,United States,TOC,KTOC,34.5928117,-83.2963717,996,-5,A,216
Tampa Executive Airport,Tampa,United States,VDF,\N,28.0139772,-82.3452778,22,-5,A,216
Fort Worth Alliance Airport,Fort Worth,United States,AFW,KAFW,32.987778,-97.318889,722,-6,A,216
East Troy Municipal Airport,East Troy,United States,57C,K57C,42.7971667,-88.3726111,860,-6,A,216
Montgomery Field,San Diego,United States,MYF,NULL,32.4759,117.759,17,8,A,216
Lawrence Municipal,Lawrence,United States,LWC,KLWC,39.009167,-95.2175,833,-6,A,216
Wellington Municipal,Wellington,United States,EGT,KEGT,37.39411,-97.423225,1277,-6,A,216
Griffin-Spalding County Airport,Griffin,United States,6A2,\N,33.2269722,-84.2749444,958,-5,A,216
Pompano Beach Airpark,Pompano Beach,United States,PMP,KPMP,26.2471389,-80.1110556,19,-5,A,216
Shelby County Airport,Alabaster,United States,EET,KEET,33.1777778,-86.7832222,586,-6,A,216
Indianapolis Metropolitan Airport,Indianapolis,United States,UMP,KUMP,39.935278,-86.045,811,-5,A,216
London-Corbin Airport-MaGee Field,London,United States,LOZ,KLOZ,37.0868889,-84.0773889,1212,-5,A,216
Fredericksburg Amtrak Station,Fredericksburg,United States,FBG,\N,38.298416,-77.456875,130,-5,A,216
John H. Batten Airport,Racine,United States,RAC,KRAC,42.7605,-87.8152,674,-6,A,216
Redlands Municipal Airport,Redlands,United States,REI,KREI,34.08525,-117.146388,1574,-8,A,216
Chemehuevi Valley,Chemehuevi Valley,United States,49X,\N,34.528889,-114.431971,638,-8,A,216
Flabob Airport,Riverside,United States,RIR,KRIR,33.988778,-117.409971,764,-8,A,216
Tacoma Narrows Airport,Tacoma,United States,TIW,KTIW,47.267944,-122.57811,294,-8,A,216
Tampa North Aero Park,Tampa,United States,X39,\N,28.221278,-82.374555,68,-5,A,216
Jack Edwards Airport,Gulf Shores,United States,JKA,KJKA,30.2896389,-87.6717778,17,-6,A,216
Hazleton Municipal,Hazleton,United States,HZL,KHZL,40.989167,-76.0025,1603,-5,A,216
Greater Cumberland Rgnl.,Cumberland,United States,CBE,KCBE,39.615278,-78.760556,775,-5,A,216
